order	Country_Other	Total_Cases	Total_Deaths	Total_Recovered	Active_Cases	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population
194	Greenland	11,971	21	2,761	9,189	210,043	368	164,926	2,893,794	56,993
195	Yemen	11,939	2,158	9,124	657	381	69	329,592	10,524	31,317,057
196	Vanuatu	11,935	14	11,918	3	36,901	43	24,976	77,221	323,437
197	Caribbean_Netherlands	11,256	36	10,476	744	420,376	1,344	30,126	1,125,112	26,776
198	Sint_Maarten	10,865	87	10,776	2	247,038	1,978	62,056	1,410,973	43,981
199	Eritrea	10,18	103	10,069	8	2,783	28	23,693	6,477	3,657,815
200	Micronesia	10,083	31	174	9,878	85,624	263	21,923	186,168	117,759
201	Niger	9,931	312	8,89	729	379	12	254,538	9,717	26,196,372
202	Antigua_and_Barbuda	9,098	146	8,923	29	91,191	1,463	18,901	189,448	99,769
203	Guinea-Bissau	8,831	176	8,31	345	4,259	85	145,231	70,039	2,073,586
204	Comoros	8,473	161	8,312	0	9,294	177	NA	NA	911,648
205	Liberia	7,974	294	7,659	21	1,497	55	139,824	26,246	5,327,523
206	Sierra_Leone	7,751	126	N/A	N/A	929	15	259,958	31,151	8,345,192
207	Chad	7,59	193	4,874	2,523	434	11	191,341	10,936	17,495,921
208	British_Virgin_Islands	7,305	64	N/A	N/A	238,041	2,086	107,339	3,497,752	30,688
209	St._Vincent_Grenadines	7,112	115	6,641	356	63,648	1,029	100,856	902,603	111,739
210	Saint_Kitts_and_Nevis	6,541	46	6,482	13	121,011	851	124,861	2,309,974	54,053
211	Cook_Islands	6,389	1	6,384	4	363,011	57	19,69	1,118,750	17,6
212	Turks_and_Caicos	6,38	36	6,321	23	159,876	902	550,093	13,784,719	39,906
213	Sao_Tome_and_Principe	6,252	77	6,159	16	27,374	337	29,036	127,13	228,396
214	Palau	5,481	6	5,462	13	299,672	328	64,681	3,536,413	18,29
215	St._Barth	5,285	6	N/A	N/A	531,423	603	78,646	7,908,095	9,945
216	Nauru	4,611	1	4,605	5	420,022	91	20,509	1,868,191	10,978
217	Anguilla	3,866	12	3,849	5	252,564	784	51,382	3,356,765	15,307
218	Kiribati	3,43	13	2,703	714	27,749	105	NA	NA	123,608
219	Saint_Pierre_Miquelon	3,212	1	2,449	762	560,558	175	25,12	4,383,944	5,73
220	Falkland_Islands	1,93	NA	1,886	44	520,216	NA	8,632	2,326,685	3,71
221	Saint_Helena	1,656	NA	2	1,654	270,677	NA	NA	NA	6,118
222	Montserrat	1,403	8	1,376	19	280,656	1,6	17,762	3,553,111	4,999
223	Macao	793	6	787	0	1,185	9	7,85	11,726	669,424
224	Wallis_and_Futuna	761	7	438	316	70,509	649	20,508	1,900,120	10,793
225	Diamond_Princess	712	13	699	0	NA	NA	NA	NA	NA
226	Niue	81	NA	80	1	49,061	NA	NA	NA	1,651
227	Vatican_City	29	NA	29	0	35,98	NA	NA	NA	806
228	Tuvalu	20	NA	NA	20	1,65	NA	NA	NA	12,122
229	Western_Sahara	10	1	9	0	16	2	NA	NA	630,677
230	MS_Zaandam	9	2	7	0	NA	NA	NA	NA	NA
Total:	World	627,104,817	6,562,340	606,882,398	13,660,079	80,451.7	841.9	NA	NA	NA
